Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
70,,1.0750000000000002,1.169928421139644,-28.64407364253513,1.8708974546605193,1.0648847820057283,5.712741699796952,134.0,207.98837209302326,224.0
71,,3.775000000000001,2.1923684182580354,88.63110563979444,2.8277203177683727,1.743552181330859,8.301219330881976,148.0,206.15761589403974,223.0
72,,60.055000000000014,8.744392538025165,36.8022510258956,14.749293493967173,5.9193222764241895,54.30351006300441,76.0,214.81263008908502,238.0
73,,3.4350000000000005,2.091310076522677,-82.41823848529819,2.6632215124320755,1.8136271636622199,8.437310601229376,96.0,204.76200873362444,228.0
74,,1.6775000000000004,1.4614579488624488,-11.095415254782464,1.9284099509009238,1.1410240514273804,5.202081528017132,151.0,206.19672131147541,222.0
75,,19.852500000000003,5.027622505902251,57.018937654238165,6.698688946674508,4.161404465890544,22.78797256769669,86.0,212.77912101750408,237.0
76,,2.3650000000000007,1.735284277373209,-86.0347364970158,2.2779938113623746,1.4372356717525685,7.264823227814083,115.0,201.04651162790697,221.0
77,,10.142500000000002,3.5935820684209214,36.798413650983285,5.387286181205325,3.2614290237063757,18.25213382904346,117.0,208.14444170569385,224.0
78,,20.302500000000006,5.0842842030108475,18.022269630060915,6.206168967038766,4.310870010830977,20.179089091213505,78.0,222.8026105159463,246.0
79,,4.422500000000001,2.372952145870468,13.1328254148257,3.2496193105061417,1.858836271486549,10.474316369738254,108.0,204.79649519502544,231.0
80,,2.0325,1.608682496540016,-43.69890069771981,2.115415638466272,1.356136409288759,7.3115746699413044,133.0,206.04920049200493,218.0
81,,1.8375000000000004,1.5295678028289108,-87.51568380300827,2.202990194834969,1.1755968934432843,6.2698484809835,123.0,209.05170068027212,237.0
82,,11.630000000000003,3.848087304787918,-29.736770731820663,4.706025123633254,3.429715543376551,15.572539674441622,92.0,205.59243336199484,238.0
83,,5.620000000000001,2.674996493719499,-61.945807802124335,3.3942032486401374,2.1882687825909306,10.671930009000631,85.0,207.5120106761566,227.0
84,,2.0875000000000004,1.6303029011918775,-80.32675386086808,2.29024588580103,1.263860944830345,7.116295090390228,57.0,200.59041916167664,233.0
85,,5.075000000000001,2.5419855801186113,4.912653166542531,3.1574051878909226,2.1099831397845845,9.735533905932739,96.0,199.58669950738917,230.0
